code_count_in_achievements,code_completion_in_bytes,code_completion_in_percentage,data_count_in_collectopaedias,data_completion_in_bytes,data_completion_in_percentage,sentence,created_at
1,27536,0.0055336908850046945,0,5106,0.0029197764821325234,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-01-31 20:58:18.098829
1,28432,0.005713752877776492,0,5106,0.0029197764821325234,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-01 09:15:13.986430
1,28672,0.0057619837686975085,0,5106,0.0029197764821325234,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-01 13:36:17.096082
1,29024,0.0058327224087150005,0,5806,0.0033200591960950705,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-13 17:50:27.013862
1,30432,0.006115676968784968,0,5939,0.0033961129117479547,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-16 20:33:56.421437
1,30968,0.006223392625175239,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-16 21:23:16.142251
1,31004,0.006230627258813392,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-17 21:00:29.178581
1,31068,0.0062434888297256625,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-17 21:23:15.600010
1,31072,0.00624429267790768,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-17 21:33:13.677329
1,31100,0.006249919615181798,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 11:09:26.454795
1,32772,0.006585928155264884,0,6116,0.003497327255135627,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 11:32:27.005784
1,31248,0.0062796619979164255,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 11:34:12.788222
1,31448,0.006319854407017273,0,5996,0.003428707361313476,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 11:52:27.782937
1,32932,0.006618082082545562,0,6107,0.003492180763098966,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 12:35:05.893280
1,33148,0.006661489884374478,0,6111,0.0034944680928930376,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 12:46:44.217222
1,33420,0.00671615156075163,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 13:25:20.263931
1,33452,0.006722582346207766,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 13:34:16.965452
1,33948,0.006822259520777868,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 13:38:25.248680
1,34172,0.006867275018970817,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 13:41:25.525861
1,35056,0.007044925467196563,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-18 16:04:58.258480
1,35324,0.007098783295391699,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-19 09:01:36.429979
1,35340,0.007101998688119767,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-19 09:41:17.632403
1,35460,0.0071261141335802755,0,7199,0.00411662179688054,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-19 09:57:34.809510
1,35536,0.007141387249038598,0,7239,0.004139495094821257,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-19 10:43:16.105151
1,35536,0.007141387249038598,0,7251,0.004146357084203472,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-20 21:08:10.186528
1,41808,0.008401821198441177,0,7884,0.004508327024115318,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-22 00:19:47.730470
1,41976,0.00843558282208589,0,7916,0.004526625662467892,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-25 18:12:18.592953
1,42052,0.00845085593754421,0,7928,0.004533487651850107,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-25 18:33:58.7891231,43068,0.008655033375776517,0,7989,0.0045683694312097,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-02-28 23:41:05.984232
1,42388,0.008518379184833636,0,7961,0.0045523581226511985,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-01 12:12:15.119199
1,42404,0.008521594577561704,0,7962,0.004552929955099716,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-01 12:38:28.455647
1,42548,0.008550533112114313,0,7962,0.004552929955099716,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-01 13:07:59.468691
1,42996,0.008640564108500212,0,7962,0.004552929955099716,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-03 17:33:38.584435
1,43084,0.008658248768504585,0,7962,0.004552929955099716,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-03 18:13:39.896259
1,43084,0.008658248768504585,0,8986,0.005138486382382071,"
You have 1 out of 200 achievements and 0 out of 21 collectopaedias.",2023-03-04 12:52:16.902138
